ra,dec,mag,ci,name
1.964889,-65.42472,6.37,0.900,
2.000083,-21.07778,4.00,1.570,
2.047972,64.90139,6.00,0.030,
2.007472,-8.52361,5.51,1.520,
1.994111,-42.03056,5.57,1.060,
2.050083,64.39000,5.58,0.380,
2.038361,54.48750,5.04,-0.080,
1.979500,-61.56972,2.86,0.280,
2.092000,76.11500,5.22,0.950,
1.930694,-78.34833,6.16,0.440,
2.020750,-30.00167,5.35,0.880,
2.034111,2.76361,5.23,0.000,Alrescha
2.034111,2.76361,4.33,0.030,Alrescha
2.157028,81.29583,6.05,0.110,
2.049444,33.28389,5.50,0.030,
1.994750,-66.06639,6.10,1.170,
2.043111,13.47667,5.94,1.590,
2.028444,-44.71361,5.14,1.490,
2.065000,42.32972,2.26,1.370,Almach
2.065194,42.33083,4.84,0.030,Almach
2.060917,25.93556,5.63,0.540,
2.041139,-29.66500,6.42,0.140,
2.053250,0.12833,5.43,0.150,
2.049611,-15.30583,5.86,0.980,
2.061833,18.25333,6.21,1.420,
2.063389,-0.34028,5.93,0.880,
2.061250,-4.10361,5.62,1.590,
2.074833,-29.29694,4.69,-0.170,
2.109417,22.64833,5.03,0.110,
2.103417,8.24750,6.31,1.650,
2.113667,25.70472,6.15,-0.030,
2.108139,0.03500,6.28,0.900,
2.119556,23.46250,2.00,1.150,Hamal
2.144583,58.42361,5.67,0.610,
2.142667,44.45944,6.42,0.000,
2.141472,37.85917,4.82,0.120,
2.168833,53.84306,6.31,0.950,
2.159056,34.98722,3.00,0.140,
2.157028,25.93972,4.98,0.330,
2.156417,17.22444,6.43,0.000,
2.146028,-17.77944,6.10,1.610,
2.222556,74.02778,6.29,0.910,
2.191389,57.64583,6.36,0.330,
2.181333,39.03944,5.63,-0.020,
2.181583,39.04306,6.10,-0.070,
2.159667,-24.34583,6.48,0.290,
2.177111,19.50028,5.70,1.650,
2.152583,-43.51667,5.85,1.190,
2.186667,25.93694,6.02,1.360,
2.190278,31.52639,6.23,0.110,
2.189194,8.56972,5.63,0.560,
2.168028,-43.81556,6.32,0.900,
2.173778,-50.82444,6.12,0.820,
2.189500,-10.05222,6.01,0.390,
2.193278,-1.82528,5.93,0.970,
2.241417,66.52444,6.07,0.630,
2.228194,58.56111,6.44,0.600,
2.206194,30.30306,4.94,0.780,
2.220361,44.23167,4.83,1.480,
2.210417,24.16778,5.96,1.370,
2.226750,51.06583,5.31,0.930,
2.213361,21.21083,5.27,0.430,
2.234056,47.48417,6.06,0.400,
2.217583,15.27972,5.71,1.550,
2.216667,8.84667,4.37,0.890,
2.213194,-2.39361,5.54,0.570,
2.216917,-21.00028,5.86,1.010,
2.215139,-30.72389,5.28,-0.020,
2.266083,47.81139,6.33,0.000,
2.281028,57.05528,6.48,0.280,
2.265611,33.35889,5.28,-0.010,
2.262778,25.78306,5.79,0.440,
2.261889,25.04306,5.58,0.490,
2.242222,-41.16667,5.91,0.970,
2.284222,34.22417,4.87,0.610,
2.299972,57.89972,5.75,1.170,
2.301250,57.51667,5.98,1.050,
2.288583,33.84722,4.01,0.020,
2.283056,-6.42222,5.51,0.960,
2.237417,-67.84167,5.55,1.550,
2.302083,19.90111,5.62,0.010,
2.321333,47.38000,5.30,-0.010,
2.319694,46.47250,6.21,0.000,
2.300389,1.75778,5.58,0.600,
